[T0] --- GAME START: BLUE ---
[T0] Handoff Spot: (2, 2)
[T28] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.SAUCE) P:100]
[T29] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T29] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.SAUCE) P:100]
[T30] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T30] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.SAUCE) P:100]
[T31] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T31] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T32] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T32] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T33] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T33] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T34] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T34] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T35] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T35] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T36] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T36] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T37] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T37] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T38] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T38] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T39] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T39] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T40] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T40] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T41] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T41] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T42] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T42] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T43] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T43] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T44] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T44] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T45] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T45] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T46] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T46] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T47] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T47] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T48] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T48] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T49] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T49] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T50] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T50] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T51] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T51] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T52] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T52] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T53] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T53] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T54] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T54] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T55] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T55] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T56] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T56] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T57] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T57] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T58] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T58] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T59] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T59] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T60] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T60] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T61] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T61] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T62] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T62] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T63] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T63] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T64] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T64] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T65] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T65] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T66] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T66] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T67] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T67] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T68] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T68] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T69] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T69] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T70] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T70] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T71] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T71] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T72] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T72] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T73] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T73] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T74] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T74] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T75] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T75] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T76] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T76] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T77] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T77] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T78] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T78] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T79] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T79] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T80] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T80] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T81] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T81] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T82] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T82] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T83] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T83] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T84] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T84] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T85] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T85] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T86] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T86] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T87] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T87] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T88] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T88] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T89] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T89] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T90] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T90] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T91] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T91] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T92] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T92] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T93] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T93] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T94] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T94] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T95] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T95] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.MEAT) P:100]
[T96] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T96] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T97] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T97] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T98] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T98] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T99] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T99] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T100] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T100] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T101] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T101] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T102] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T102] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T103] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T103] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T104] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T104] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T105] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T105] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T106] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T106] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T107] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T107] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T108] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T108] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T109] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T109] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T110] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T110] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T111] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T111] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T112] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T112] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T113] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T113] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T114] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T114] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T115] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T115] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T116] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T116] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T117] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T117] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T118] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T118] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T119] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T119] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T120] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T120] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.ONIONS) P:100]
[T121] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T121] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T122] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T122] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T123] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T123] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T124] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T124] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T125] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T125] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T126] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T126] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T127] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T127] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T128] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T128] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T129] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T129] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T130] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T130] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T131] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T131] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T132] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T132] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T133] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T133] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T134] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T134] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T135] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T135] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T136] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T136] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T137] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T137] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T138] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T138] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T139] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T139] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T140] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T140] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.EGG) P:100]
[T141] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T141] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T142] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T142] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T143] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T143] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T144] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T144] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T145] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T145] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T146] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T146] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T147] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T147] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T148] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T148] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T149] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T149] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T150] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T150] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T151] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T151] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T152] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T152] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T153] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T153] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T154] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T154] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T155] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T155] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T156] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T156] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T157] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T157] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T158] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T158] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T159] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T159] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T160] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T160] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T161] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T161] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T162] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T162] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T163] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T163] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T164] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T164] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T165] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T165] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T166] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T166] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T167] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T167] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T168] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T168] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T169] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T169] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T170] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
[T170] Bot 3 @ (8,8) -> [BUY_INGREDIENT(FoodType.NOODLES) P:100]
[T171] Bot 2 @ (6,8) -> [BUY_PLATE P:1900]
